a_a_1;tetrapsifios_mai;ktirio_ypiresia;perifereia_1;nomos_1;megethos_1;typos_1;diefthinsi_forea;arithmos;tk_1;dimos_1;longitude;latitude
266;267;ΚΕΝΤΡΟ ΥΓΕΙΑΣ ΓΑΛΑΤΑ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΝΤΡΟ ΥΓΕΙΑΣ;ΓΑΛΑΤΑΣ ΤΡΙΖΗΝΙΑΣ, 18020;;;;23,4465;37,497422
267;268;ΚΕΝΤΡΟ ΥΓΕΙΑΣ ΕΛΕΥΣΙΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΝΤΡΟ ΥΓΕΙΑΣ;ΚΙΜΩΝΟΣ 12, ΕΛΕΥΣΙΝΑ;;;;23,5409648;38,0392242
268;269;ΚΕΝΤΡΟ ΥΓΕΙΑΣ ΚΑΠΑΝΔΡΙΤΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΝΤΡΟ ΥΓΕΙΑΣ;ΚΑΠΑΝΔΡΙΤΙ ΑΤΤΙΚΗΣ;;;;23,864064;38,284475
269;270;ΚΕΝΤΡΟ ΥΓΕΙΑΣ ΚΟΡΩΠΙΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΝΤΡΟ ΥΓΕΙΑΣ;ΒΑΣ. ΚΩΝ/ΝΟΥ 7, ΚΟΡΩΠΙ 19400;;;;23,872392;37,900247
306;307;"ΠΓΝ ""ΛΑΪΚΟ""";ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΕΓΑΛΟΣ;ΝΟΣΟΚΟΜΕΙΟ;ΑΓΙΟΥ ΘΩΜΑ 17 ΑΘΗΝΑ 115 27;;;;23,7642832;37,9839754
271;272;ΚΕΝΤΡΟ ΥΓΕΙΑΣ ΜΑΡΚΟΠΟΥΛΟΥ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΝΤΡΟ ΥΓΕΙΑΣ;ΤΕΡΜΑ ΕΥΑΓΓΕΛΙΣΤΡΙΑΣ 19003 ΜΑΡΚΟΠΟΥΛΟ;;;;23,9774369;37,8801862
272;273;ΚΕΝΤΡΟ ΥΓΕΙΑΣ ΜΕΓΑΡΩΝ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΝΤΡΟ ΥΓΕΙΑΣ;ΚΟΥΡΚΟΥΡΙ 19100 ΜΕΓΑΡΑ;;;;23,344591;37,994845
304;305;"ΠΓΝ ""ΙΠΠΟΚΡΑΤΕΙΟ""";ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΕΓΑΛΟΣ;ΝΟΣΟΚΟΜΕΙΟ;ΒΑΣ. ΣΟΦΙΑΣ 114 ΑΘΗΝΑ  115 27;;;;23,7592042;37,9840334
273;274;ΚΕΝΤΡΟ ΥΓΕΙΑΣ Ν. ΜΑΚΡΗΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΝΤΡΟ ΥΓΕΙΑΣ;ΝΕΑ ΜΑΚΡΗ, ΛΕΩΦΟΡΟΣ ΜΑΡΑΘΩΝΟΣ;;;;23,9822238;38,0689218
274;275;ΚΕΝΤΡΟ ΥΓΕΙΑΣ ΣΑΛΑΜΙΝΑΣ;ΑΤΤΙΚΗΣ;ΑΤΤΙΚΗΣ;ΜΙΚΡΟΣ;ΚΕΝΤΡΟ ΥΓΕΙΑΣ;ΚΕΝΤΡΟ ΥΓΕΙΑΣ ΣΑΛΑΜΙΝΑΣ, ΛΕΩΦΟΡΟΣ ΦΑΝΕΡΩΜΕΝΗΣ;;;;23,5133267;37,9290786
